route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
860870,20163611multiint-0000001,48942776-20163611multiint-0000001,"Loretteville (Nord)",,0,,08700620,2
860750,20163611multiint-0000001,48942857-20163611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,07500214,2
860750,20163611multiint-0000001,48942862-20163611multiint-0000001,"Loretteville (Nord)",,0,,07500124,2
860930,20163611multiint-0000001,48944342-20163611multiint-0000001,"Champigny (Nord)",,0,,09300294,2
860550,20163611multiint-0000001,49004123-20163611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05500052,2
860740,20163611multiint-0000001,48944060-20163611multiint-0000001,"Val-Bélair (Nord)",,0,,07400038,2
860810,20163611multiint-0000001,48944178-20163611multiint-0000001,"Terminus Les Saules (Sud)",,1,,08100156,2
860810,20163611multiint-0000001,48944196-20163611multiint-0000001,"Terminus du Zoo (Nord)",,0,,08100167,2
860310,20163611multiint-0000001,48943705-20163611multiint-0000001,"Lac-Saint-Charles (Nord)",,0,,03100091,2
860310,20163611multiint-0000001,48943696-20163611multiint-0000001,"Terminus du Zoo (Sud)",,1,,03100090,2
860320,20163611multiint-0000001,48943724-20163611multiint-0000001,"Lac Clément (Nord)",,0,,03200106,2
860320,20163611multiint-0000001,48943716-20163611multiint-0000001,"Terminus du Zoo (Sud)",,1,,03200105,2
860440,20163611multiint-0000001,48943767-20163611multiint-0000001,"Terminus Beauport (Sud)",,1,,04400106,2
860610,20163611multiint-0000001,48944013-20163611multiint-0000001,"Lebourgneuf (Ouest)",,1,,06100166,2
860870,20163611multiint-0000001,48942770-20163611multiint-0000001,"Loretteville (Nord)",,0,,08700620,2
860870,20163611multiint-0000001,48942793-20163611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700621,2
860870,20163611multiint-0000001,48942772-20163611multiint-0000001,"Loretteville (Nord)",,0,,08700620,2
860750,20163611multiint-0000001,48942839-20163611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,07500214,2
860750,20163611multiint-0000001,48942844-20163611multiint-0000001,"Loretteville (Nord)",,0,,07500124,2
860750,20163611multiint-0000001,48942847-20163611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,07500214,2
860870,20163611multiint-0000001,48942758-20163611multiint-0000001,"Loretteville (Nord)",,0,,08700620,2
860870,20163611multiint-0000001,48942713-20163611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700649,2
860920,20163611multiint-0000001,48944334-20163611multiint-0000001,"Saint-Augustin (Ouest)",,1,,09200056,2
860920,20163611multiint-0000001,48944314-20163611multiint-0000001,"Sainte-Foy  Centre (Est)",,0,,09200053,2
860920,20163611multiint-0000001,48944324-20163611multiint-0000001,"Saint-Augustin (Ouest)",,1,,09200056,2
860920,20163611multiint-0000001,48944317-20163611multiint-0000001,"Sainte-Foy  Centre (Est)",,0,,09200053,2
860870,20163611multiint-0000001,48942753-20163611multiint-0000001,"Loretteville (Nord)",,0,,08700650,2
860740,20163611multiint-0000001,48944077-20163611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,07400055,2
860740,20163611multiint-0000001,48944071-20163611multiint-0000001,"Val-Bélair (Nord)",,0,,07400038,2
860810,20163611multiint-0000001,48944187-20163611multiint-0000001,"Terminus Les Saules (Sud)",,1,,08100156,2
860810,20163611multiint-0000001,48944205-20163611multiint-0000001,"Terminus du Zoo (Nord)",,0,,08100167,2
860370,20163611multiint-0000001,48942900-20163611multiint-0000001,"Terminus Charlesbourg / Jean-Talon Ouest (Nord)",,0,,03700265,2
860370,20163611multiint-0000001,48942897-20163611multiint-0000001,"41e Rue Est / colline Parlementaire (Sud)",,1,,03700264,2
860530,20163611multiint-0000001,48943853-20163611multiint-0000001,"Terminus Beauport (Ouest)",,1,,05300213,2
860550,20163611multiint-0000001,49004110-20163611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05500052,2
860550,20163611multiint-0000001,48943930-20163611multiint-0000001,"Terminus Beauport (Sud)",,1,,05500341,2
860520,20163611multiint-0000001,48943816-20163611multiint-0000001,"Du Bourg-Royal (Est)",,0,,05200033,2
860580,20163611multiint-0000001,48943961-20163611multiint-0000001,"Terminus Beauport (Sud)",,1,,05800179,2
860580,20163611multiint-0000001,48943965-20163611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05800006,2
860530,20163611multiint-0000001,48943856-20163611multiint-0000001,"Terminus Beauport (Ouest)",,1,,05300213,2
860610,20163611multiint-0000001,48944016-20163611multiint-0000001,"Lebourgneuf (Ouest)",,1,,06100166,2
860610,20163611multiint-0000001,48943983-20163611multiint-0000001,"41e Rue Est (Est)",,0,,06100165,2
860610,20163611multiint-0000001,48944001-20163611multiint-0000001,"Lebourgneuf (Ouest)",,1,,06100166,2
860610,20163611multiint-0000001,48943984-20163611multiint-0000001,"41e Rue Est (Est)",,0,,06100165,2
860610,20163611multiint-0000001,48944003-20163611multiint-0000001,"Lebourgneuf (Ouest)",,1,,06100166,2
860610,20163611multiint-0000001,48943986-20163611multiint-0000001,"41e Rue Est (Est)",,0,,06100165,2
868034,20163611multiint-0000001,49379044-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379051-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379056-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379063-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379068-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379040-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379047-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379052-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379059-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379064-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379071-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379076-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379083-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379089-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
860610,20163611multiint-0000001,48943998-20163611multiint-0000001,"Lebourgneuf (Ouest)",,1,,06100166,1
860610,20163611multiint-0000001,48944008-20163611multiint-0000001,"41e Rue Est (Est)",,0,,06100165,1
860390,20163611multiint-0000001,48943753-20163611multiint-0000001,"Terminus du Zoo (Nord)",,0,,03900045,1
860390,20163611multiint-0000001,48943744-20163611multiint-0000001,"41e Rue Est (Sud)",,1,,03900010,1
860390,20163611multiint-0000001,48943755-20163611multiint-0000001,"Terminus du Zoo (Nord)",,0,,03900045,1
860390,20163611multiint-0000001,48943746-20163611multiint-0000001,"41e Rue Est (Sud)",,1,,03900010,1
868034,20163611multiint-0000001,49379041-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379046-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379053-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379058-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379065-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379070-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379077-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379082-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379090-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
860750,20163611multiint-0000001,48942804-20163611multiint-0000001,"Loretteville (Nord)",,0,,07500124,1
860870,20163611multiint-0000001,48942729-20163611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700621,1
860930,20163611multiint-0000001,48944351-20163611multiint-0000001,"Sainte-Foy Centre/Univ.Laval/Cégep Garneau (Sud)",,1,,09300314,1
860010,20163611multiint-0000001,48943626-20163611multiint-0000001,"Station Belvédère (Nord)",,0,,00100326,1
860010,20163611multiint-0000001,48943601-20163611multiint-0000001,"Gare fluviale / Cap-Blanc (Sud)",,1,,00100357,1
860870,20163611multiint-0000001,48942750-20163611multiint-0000001,"Loretteville (Nord)",,0,,08700650,1
860740,20163611multiint-0000001,48944074-20163611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,07400055,1
868034,20163611multiint-0000001,49379097-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379104-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379111-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379118-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379125-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379132-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379138-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
868034,20163611multiint-0000001,49379145-20163611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
868034,20163611multiint-0000001,49379150-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
860870,20163611multiint-0000001,48942711-20163611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700649,1
860250,20163611multiint-0000001,48945115-20163611multiint-0000001,"Place D'Youville / Gare du Palais (Est)",,0,,02500029,1
860110,20163611multiint-0000001,48945052-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,01100048,1
860110,20163611multiint-0000001,48945015-20163611multiint-0000001,"Place D'Youville / Vieux-Québec (Est)",,0,,01100065,1
860110,20163611multiint-0000001,48945055-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,01100048,1
860110,20163611multiint-0000001,48945018-20163611multiint-0000001,"Place D'Youville / Vieux-Québec (Est)",,0,,01100065,1
868074,20163611multiint-0000001,48943286-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943366-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868014,20163611multiint-0000001,48944549-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944633-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163611multiint-0000001,48944561-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944645-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163611multiint-0000001,48944572-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944655-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163611multiint-0000001,48944582-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944665-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163611multiint-0000001,48944592-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944599-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868004,20163611multiint-0000001,48944374-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944456-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868014,20163611multiint-0000001,48944537-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944621-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868074,20163611multiint-0000001,48943292-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943372-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943299-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943379-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943306-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943386-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943312-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943392-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943318-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943398-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943324-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943404-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943330-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943410-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943335-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868004,20163611multiint-0000001,48944446-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868014,20163611multiint-0000001,48944527-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
